"Responder ID","flag_straightline","flag_longstring","flag_speeding","flag_inconsistent","flag_duplicate","n_flags","qc_remove","longstring_max","irv"
"2_ABaOnucu-IrEpIiLgHmWEjH8QmuZknMYxRe12zCMXxUD1jgcWspEtoT3NTH50w38zg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0.499546073442513
"2_ABaOnudiSamWC1P8IcMvk2aeWKdlptw0MUwq_Rd5qg9_zm3o5uD9XskeJqi7fgO4XA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.799273717508021
"2_ABaOnudF_8-fVhfZi-xapxvWW6GMHaN6Xgm17JeyYJhdEnb9AC9uHpTD5c3jr0u5Kg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.563026993171129
"2_ABaOnucEmXsG_9QnKpMNE3adukyoJGxtDkxYM7ZongMrTnr-hTLzDVWMLaOOqJAsoA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,24,0.592604145548472
"2_ABaOnucZpyerIaWHJH2Cbs18hSWLL0jfa1NIQkM147xGuGuJCODiV2uRBGb9lMx20g",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,15,0.552177672029758
"2_ABaOnufmHl-zPsFviApoaTyhGIC8L7KdTEPiNsVdEga0I4rrO2AUm8MftFEaYsqcAQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,10,0.734797526342252
"2_ABaOnudP3-LTxoKk3JQBi0KS4pQDA69k7rj0brQGzR9_vCZRCXPhqiiVSQqlSl2sew",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,37,0.322572839122616
"2_ABaOnuf_CVE19b9qsbbvu01CRtp_hSARYbHmpHPOUg7_vTKJUZZ2SgP2ln0tTx6E9Q",TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,58,0
"2_ABaOnudU-wsksC-Xfbub-KsZptBrPOFnHKKe_ITwUDsNb3g8xaVHTy0Qk1Nt9v449A",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,26,0.773111343485068
"2_ABaOnueEQVwqmUJxnCrrL_r7gGiyA_Qga0qmIzQ721MMecYFLjkQsYpErpIL3h4Ygw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,13,0.493453820246914
"2_ABaOnufNAvwOsgtdhiLrDc40zARBacD9KSUSVynMJyDAfi0VnwzzoN8nxC7JFnA58w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.796430329920592
"2_ABaOnuebOaMazIyY906RW6KaWDxsOQQGYU7cEzWZN0IbRW9Cn4o7iyU-IO3PiZtsEw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,11,0.842029639677597
"2_ABaOnucIDC4-vhG2QLphsVCbRIO2CxV6qWjca7PGks5FXSFW3F-2ABuVnNxvxHpRBA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.678286514152616
"2_ABaOnuf3P3QZ4dx8nQZAjxZZEppKOjctnwuUflpZPCscFVGYNj9FF1NJIb81sMOHOA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,11,1.25379038145503
